user_id,month,pilot_group,post_period,active_30d,net_inflow
7375,2024-06-01 00:00:00,0,0,1,914.17
466,2024-06-01 00:00:00,1,0,0,0.0
10005,2024-06-01 00:00:00,1,0,0,0.0
7865,2024-06-01 00:00:00,0,0,1,1775.04
5066,2024-06-01 00:00:00,0,0,1,0.0
4639,2024-06-01 00:00:00,0,0,1,983.47
2592,2024-06-01 00:00:00,1,0,0,0.0
5143,2024-06-01 00:00:00,1,0,1,1573.89
6735,2024-06-01 00:00:00,1,0,0,0.0
5131,2024-06-01 00:00:00,0,0,0,0.0
6675,2024-06-01 00:00:00,0,0,0,0.0
1629,2024-06-01 00:00:00,0,0,0,0.0
7101,2024-06-01 00:00:00,0,0,1,752.14
11127,2024-06-01 00:00:00,0,0,0,0.0
2419,2024-06-01 00:00:00,1,0,0,0.0
10164,2024-06-01 00:00:00,0,0,1,1283.5
6499,2024-06-01 00:00:00,0,0,0,0.0
6666,2024-06-01 00:00:00,1,0,0,0.0
10024,2024-06-01 00:00:00,0,0,1,3444.92
1841,2024-06-01 00:00:00,1,0,0,0.0
9182,2024-06-01 00:00:00,0,0,0,0.0
7382,2024-06-01 00:00:00,0,0,0,0.0
9661,2024-06-01 00:00:00,1,0,0,0.0
741,2024-06-01 00:00:00,0,0,1,1127.96
5078,2024-06-01 00:00:00,0,0,0,0.0
8168,2024-06-01 00:00:00,0,0,0,0.0
5783,2024-06-01 00:00:00,0,0,0,0.0
8059,2024-06-01 00:00:00,1,0,0,0.0
9386,2024-06-01 00:00:00,1,0,0,0.0
3345,2024-06-01 00:00:00,0,0,1,2008.23
11424,2024-06-01 00:00:00,1,0,0,0.0
4964,2024-06-01 00:00:00,1,0,0,0.0
8841,2024-06-01 00:00:00,1,0,0,0.0
7678,2024-06-01 00:00:00,1,0,1,0.0
10394,2024-06-01 00:00:00,0,0,1,0.0
3697,2024-06-01 00:00:00,0,0,0,0.0
7930,2024-06-01 00:00:00,0,0,0,0.0
68,2024-06-01 00:00:00,0,0,1,0.0
3771,2024-06-01 00:00:00,0,0,0,0.0
6727,2024-06-01 00:00:00,0,0,0,0.0
723,2024-06-01 00:00:00,0,0,0,0.0
5471,2024-06-01 00:00:00,0,0,0,0.0
3595,2024-06-01 00:00:00,0,0,0,0.0
181,2024-06-01 00:00:00,0,0,1,834.87
9423,2024-06-01 00:00:00,0,0,0,0.0
10528,2024-06-01 00:00:00,0,0,0,0.0
4455,2024-06-01 00:00:00,1,0,0,0.0
10148,2024-06-01 00:00:00,0,0,0,0.0
11867,2024-06-01 00:00:00,0,0,0,0.0
2574,2024-06-01 00:00:00,1,0,0,0.0
4409,2024-06-01 00:00:00,1,0,0,0.0
1201,2024-06-01 00:00:00,1,0,0,0.0
4137,2024-06-01 00:00:00,1,0,1,0.0
4495,2024-06-01 00:00:00,0,0,1,884.9
173,2024-06-01 00:00:00,0,0,0,0.0
1063,2024-06-01 00:00:00,0,0,0,0.0
10347,2024-06-01 00:00:00,0,0,0,0.0
217,2024-06-01 00:00:00,0,0,1,929.39
9050,2024-06-01 00:00:00,1,0,0,0.0
10139,2024-06-01 00:00:00,0,0,0,0.0
774,2024-06-01 00:00:00,1,0,0,0.0
11654,2024-06-01 00:00:00,1,0,0,0.0
11340,2024-06-01 00:00:00,0,0,0,0.0
409,2024-06-01 00:00:00,0,0,0,0.0
5617,2024-06-01 00:00:00,0,0,1,1380.87
4626,2024-06-01 00:00:00,1,0,0,0.0
5099,2024-06-01 00:00:00,1,0,1,2467.3
11836,2024-06-01 00:00:00,0,0,0,0.0
9330,2024-06-01 00:00:00,1,0,0,0.0
4266,2024-06-01 00:00:00,0,0,0,0.0
7072,2024-06-01 00:00:00,1,0,0,0.0
9892,2024-06-01 00:00:00,0,0,0,0.0
4536,2024-06-01 00:00:00,1,0,0,0.0
6371,2024-06-01 00:00:00,1,0,0,0.0
10257,2024-06-01 00:00:00,1,0,0,0.0
836,2024-06-01 00:00:00,0,0,0,0.0
137,2024-06-01 00:00:00,0,0,1,478.38
11277,2024-06-01 00:00:00,0,0,0,0.0
7202,2024-06-01 00:00:00,0,0,0,0.0
8122,2024-06-01 00:00:00,1,0,1,1851.44
11382,2024-06-01 00:00:00,0,0,0,0.0
8803,2024-06-01 00:00:00,0,0,1,1226.69
9294,2024-06-01 00:00:00,0,0,0,0.0
2854,2024-06-01 00:00:00,1,0,0,0.0
8185,2024-06-01 00:00:00,1,0,0,0.0
6455,2024-06-01 00:00:00,0,0,0,0.0
1872,2024-06-01 00:00:00,1,0,0,0.0
5257,2024-06-01 00:00:00,0,0,0,0.0
10349,2024-06-01 00:00:00,1,0,0,0.0
11238,2024-06-01 00:00:00,0,0,0,0.0
7819,2024-06-01 00:00:00,1,0,0,0.0
3410,2024-06-01 00:00:00,0,0,1,1950.0
10606,2024-06-01 00:00:00,0,0,0,0.0
11054,2024-06-01 00:00:00,1,0,0,0.0
8319,2024-06-01 00:00:00,0,0,1,2176.0
9603,2024-06-01 00:00:00,1,0,0,0.0
11113,2024-06-01 00:00:00,1,0,1,285.45
7147,2024-06-01 00:00:00,0,0,1,1118.08
5808,2024-06-01 00:00:00,0,0,0,0.0
3848,2024-06-01 00:00:00,0,0,1,1268.63
8237,2024-06-01 00:00:00,0,0,0,0.0
2788,2024-06-01 00:00:00,1,0,0,0.0
9239,2024-06-01 00:00:00,0,0,0,0.0
6788,2024-06-01 00:00:00,1,0,0,0.0
6486,2024-06-01 00:00:00,0,0,0,0.0
6782,2024-06-01 00:00:00,1,0,0,0.0
11932,2024-06-01 00:00:00,1,0,0,0.0
5981,2024-06-01 00:00:00,0,0,0,0.0
7835,2024-06-01 00:00:00,0,0,0,0.0
1164,2024-06-01 00:00:00,1,0,0,0.0
5196,2024-06-01 00:00:00,1,0,0,0.0
15,2024-06-01 00:00:00,1,0,0,0.0
393,2024-06-01 00:00:00,1,0,0,0.0
1868,2024-06-01 00:00:00,0,0,0,0.0
8284,2024-06-01 00:00:00,0,0,1,866.73
4159,2024-06-01 00:00:00,1,0,1,1869.32
3171,2024-06-01 00:00:00,0,0,1,0.0
7574,2024-06-01 00:00:00,0,0,0,0.0
5836,2024-06-01 00:00:00,0,0,0,0.0
1433,2024-06-01 00:00:00,0,0,0,0.0
4940,2024-06-01 00:00:00,1,0,0,0.0
7641,2024-06-01 00:00:00,0,0,0,0.0
6172,2024-06-01 00:00:00,0,0,0,0.0
584,2024-06-01 00:00:00,1,0,0,0.0
10159,2024-06-01 00:00:00,0,0,0,0.0
6630,2024-06-01 00:00:00,0,0,0,0.0
2344,2024-06-01 00:00:00,0,0,0,0.0
3561,2024-06-01 00:00:00,0,0,0,0.0
10245,2024-06-01 00:00:00,0,0,0,0.0
1508,2024-06-01 00:00:00,0,0,0,0.0
7397,2024-06-01 00:00:00,0,0,0,0.0
579,2024-06-01 00:00:00,0,0,0,0.0
4331,2024-06-01 00:00:00,1,0,0,0.0
11650,2024-06-01 00:00:00,0,0,0,0.0
1679,2024-06-01 00:00:00,0,0,0,0.0
9449,2024-06-01 00:00:00,0,0,0,0.0
