user_id,experiment_name,assigned_at,experiment_group,delivered,clicked_7d,purchased_30d,purchase_amount_30d,retained_30d,pre_90d_visits,pre_90d_trades,days_since_last_visit
1,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,105
4,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,1,0,0,123
5,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,1,0,1,8573.08,0,0,0,163
7,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,1,0,88
9,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,210
10,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,189
13,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,92
15,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,310
17,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,178
18,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,184
19,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,201
21,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,110
25,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,2,0,66
26,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,1,0,0,0.0,0,4,0,67
27,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,168
28,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,127
31,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,100
35,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,151
38,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,6,1,46
40,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,1,0,0,0.0,0,0,0,295
41,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,1,0,0,0.0,1,0,0,98
42,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,1,0,0,0.0,1,0,0,186
44,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,1,0,0.0,0,1,0,60
46,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,1,0,68
48,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,0,0,0,0.0,0,0,0,311
49,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,0,0,0,0.0,0,0,0,306
50,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,188
52,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,1,0,0,94
53,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,195
54,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,1,0,0.0,0,0,0,189
55,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,1,0,1,11841.87,1,0,0,228
56,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,1,0,0.0,0,0,0,158
58,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,1,0,83
59,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,100
63,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,1,0,0,0.0,0,0,0,152
64,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,106
69,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,288
74,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,1,1,0,73
76,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,1,0,58
81,dormant_user_reactivation_v1,2025-01-15 00:00:00,education_content,1,0,0,0.0,0,0,0,325
84,dormant_user_reactivation_v1,2025-01-15 00:00:00,control,1,0,0,0.0,0,0,0,116
86,dormant_user_reactivation_v1,2025-01-15 00:00:00,product_recommendation,0,0,0,0.0,0,0,0,155
