transaction_id,user_id,product_id,transaction_time,transaction_type,amount
973,3636,4,2024-01-04 14:00:00,buy,525.14
3261,11437,3,2024-01-08 14:00:00,buy,816.97
2811,9910,8,2024-01-13 14:00:00,buy,573.39
758,2680,1,2024-01-13 14:00:00,buy,1181.04
2375,8344,4,2024-01-13 14:00:00,buy,1475.53
808,2892,4,2024-01-14 14:00:00,buy,2901.0
353,1234,4,2024-01-14 14:00:00,buy,3828.87
1951,6983,4,2024-01-15 14:00:00,buy,2371.73
2096,7387,1,2024-01-16 14:00:00,buy,3270.76
2901,10322,4,2024-01-16 14:00:00,buy,4560.34
3003,10605,6,2024-01-16 14:00:00,buy,16997.59
1031,3818,4,2024-01-18 14:00:00,buy,13139.48
2091,7370,7,2024-01-19 14:00:00,buy,1308.74
997,3708,3,2024-01-19 14:00:00,buy,42156.08
3015,10643,6,2024-01-20 14:00:00,buy,924.81
1619,5841,1,2024-01-20 14:00:00,buy,1756.14
2771,9769,5,2024-01-22 14:00:00,buy,1357.16
3341,11748,4,2024-01-22 14:00:00,buy,1329.83
558,1947,3,2024-01-22 14:00:00,buy,8851.14
1307,4795,4,2024-01-22 14:00:00,buy,3813.31
1876,6719,2,2024-01-22 14:00:00,buy,1971.76
1902,6828,1,2024-01-22 14:00:00,buy,1203.11
1663,6029,2,2024-01-23 14:00:00,buy,2121.72
924,3390,5,2024-01-23 14:00:00,buy,2356.51
610,2174,3,2024-01-24 14:00:00,buy,824.15
2520,8883,6,2024-01-24 14:00:00,buy,1629.19
443,1451,1,2024-01-26 14:00:00,buy,488.48
22,78,2,2024-01-26 14:00:00,buy,359.23
1083,3927,5,2024-01-26 14:00:00,buy,720.93
1678,6121,5,2024-01-27 14:00:00,buy,8656.91
3073,10850,6,2024-01-27 14:00:00,buy,6116.81
1206,4344,1,2024-01-27 14:00:00,buy,1837.42
1468,5441,3,2024-01-27 14:00:00,buy,1058.7
3168,11115,5,2024-01-28 14:00:00,buy,1297.41
3268,11491,3,2024-01-28 14:00:00,buy,261.39
2451,8646,6,2024-01-28 14:00:00,buy,577.71
2852,10078,4,2024-01-28 14:00:00,buy,25302.88
1770,6381,4,2024-01-28 14:00:00,buy,6336.83
1208,4356,6,2024-01-29 14:00:00,buy,1099.39
308,1125,1,2024-01-29 14:00:00,buy,7834.21
1870,6693,1,2024-01-29 14:00:00,buy,4252.31
787,2790,8,2024-01-29 14:00:00,buy,1887.35
647,2309,3,2024-01-30 14:00:00,buy,1708.62
2994,10593,3,2024-01-30 14:00:00,buy,3827.61
2302,8050,2,2024-01-30 14:00:00,buy,5426.24
2887,10261,4,2024-01-30 14:00:00,buy,8720.1
3362,11803,3,2024-01-31 14:00:00,buy,31791.74
1335,4927,3,2024-01-31 14:00:00,buy,758.41
2424,8560,7,2024-01-31 14:00:00,buy,1016.71
2498,8765,1,2024-02-01 14:00:00,buy,26398.86
2128,7494,8,2024-02-01 14:00:00,buy,1577.53
2578,9070,8,2024-02-01 14:00:00,buy,667.03
1827,6575,1,2024-02-02 14:00:00,buy,693.19
2954,10477,2,2024-02-02 14:00:00,buy,2100.34
804,2862,1,2024-02-03 14:00:00,buy,5117.07
1795,6482,1,2024-02-03 14:00:00,buy,4771.07
2612,9179,5,2024-02-03 14:00:00,buy,2653.08
2615,9187,3,2024-02-03 14:00:00,buy,40966.6
3127,10985,4,2024-02-03 14:00:00,buy,2152.14
376,1325,4,2024-02-03 14:00:00,buy,1341.67
464,1515,3,2024-02-04 14:00:00,buy,2316.02
2837,10042,1,2024-02-04 14:00:00,buy,1868.82
1,18,2,2024-02-04 14:00:00,buy,5704.23
2237,7834,1,2024-02-04 14:00:00,buy,521.66
2085,7359,8,2024-02-04 14:00:00,buy,2079.11
1769,6371,3,2024-02-04 14:00:00,buy,3962.61
3342,11748,6,2024-02-04 15:00:00,buy,1565.8
195,727,6,2024-02-05 14:00:00,buy,564.32
1018,3781,6,2024-02-05 14:00:00,buy,1506.15
422,1426,6,2024-02-05 14:00:00,buy,5622.17
3220,11292,3,2024-02-05 14:00:00,buy,2748.6
2905,10324,1,2024-02-05 14:00:00,buy,2396.99
2500,8767,4,2024-02-06 14:00:00,buy,8233.0
2147,7579,2,2024-02-06 14:00:00,buy,629.79
772,2728,3,2024-02-07 14:00:00,buy,9485.37
1456,5414,4,2024-02-08 14:00:00,buy,14154.33
959,3546,4,2024-02-09 14:00:00,buy,2212.89
506,1704,8,2024-02-09 14:00:00,buy,28548.2
258,981,5,2024-02-10 14:00:00,buy,4652.12
3262,11444,6,2024-02-10 14:00:00,buy,2227.15
1907,6861,8,2024-02-10 14:00:00,buy,6831.11
2721,9535,1,2024-02-10 14:00:00,buy,7619.75
2454,8661,8,2024-02-10 14:00:00,buy,20198.17
2665,9357,3,2024-02-10 14:00:00,buy,5685.53
3285,11576,2,2024-02-10 14:00:00,buy,8724.49
1813,6538,4,2024-02-11 14:00:00,buy,3049.25
884,3232,2,2024-02-11 14:00:00,buy,4868.46
2821,9967,6,2024-02-12 14:00:00,buy,4993.71
2332,8162,3,2024-02-12 14:00:00,buy,6380.81
1402,5236,2,2024-02-12 14:00:00,buy,1593.25
1680,6139,1,2024-02-12 14:00:00,buy,1407.15
354,1234,6,2024-02-12 15:00:00,buy,4217.97
2086,7359,1,2024-02-12 15:00:00,buy,1032.54
2618,9190,6,2024-02-13 14:00:00,buy,419.32
3410,11934,2,2024-02-13 14:00:00,buy,4675.39
2,18,4,2024-02-13 15:00:00,buy,4295.54
3004,10605,6,2024-02-13 15:00:00,buy,5156.14
2656,9317,8,2024-02-14 14:00:00,buy,12555.0
2980,10572,4,2024-02-14 14:00:00,buy,14338.09
1914,6875,2,2024-02-14 14:00:00,buy,32758.35
3099,10927,8,2024-02-14 14:00:00,buy,1666.86
854,3085,8,2024-02-14 14:00:00,buy,5017.69
1099,3985,8,2024-02-14 14:00:00,buy,5606.33
3068,10796,4,2024-02-14 14:00:00,buy,16568.07
1209,4356,6,2024-02-14 15:00:00,buy,700.11
3263,11457,6,2024-02-15 14:00:00,buy,280.6
678,2343,2,2024-02-15 14:00:00,buy,9174.95
731,2591,3,2024-02-15 14:00:00,buy,4804.94
1989,7106,7,2024-02-15 14:00:00,buy,852.93
852,3052,2,2024-02-15 14:00:00,buy,2824.59
2524,8888,7,2024-02-15 14:00:00,buy,573.21
2339,8200,2,2024-02-15 14:00:00,buy,6080.05
1952,6983,2,2024-02-15 15:00:00,buy,935.1
788,2790,7,2024-02-15 15:00:00,buy,1230.16
3135,11026,1,2024-02-16 14:00:00,buy,2649.11
3123,10979,8,2024-02-16 14:00:00,buy,10559.87
2843,10047,1,2024-02-16 14:00:00,buy,501.43
3233,11340,1,2024-02-16 14:00:00,buy,369.75
