user_id,registered_at,acquisition_channel,age_group,city_tier,risk_profile,initial_cash_balance,marketing_consent
1,2024-03-02 00:00:00,referral,56+,T3+,aggressive,79146.96,1
2,2024-09-13 00:00:00,referral,26-35,T2,balanced,8201.97,1
3,2024-10-28 00:00:00,social,36-45,T2,balanced,1950.77,1
4,2024-04-04 00:00:00,referral,36-45,T1,aggressive,13110.98,1
5,2024-07-27 00:00:00,bank_partner,36-45,T1,cautious,3423.82,1
6,2024-06-04 00:00:00,bank_partner,18-25,T2,cautious,3420.07,0
7,2024-04-10 00:00:00,referral,26-35,T1,balanced,4670.83,1
8,2024-07-21 00:00:00,organic,36-45,T2,cautious,4413.8,0
9,2024-05-20 00:00:00,bank_partner,18-25,T3+,aggressive,8118.29,1
10,2024-06-20 00:00:00,paid_search,26-35,T1,balanced,985.05,1
11,2024-03-30 00:00:00,organic,26-35,T2,balanced,76058.26,0
12,2024-08-16 00:00:00,social,26-35,T2,cautious,5703.54,1
13,2024-08-10 00:00:00,paid_search,26-35,T1,cautious,27424.31,1
14,2024-11-23 00:00:00,organic,18-25,T3+,balanced,4802.84,1
15,2024-01-07 00:00:00,paid_search,26-35,T2,balanced,19772.8,1
16,2024-09-15 00:00:00,referral,36-45,T1,aggressive,69495.39,1
17,2024-06-07 00:00:00,social,26-35,T3+,balanced,10811.07,1
18,2024-01-24 00:00:00,paid_search,46-55,T1,balanced,24350.04,1
19,2024-03-04 00:00:00,paid_search,36-45,T2,balanced,29983.28,1
20,2024-08-12 00:00:00,referral,26-35,T2,balanced,16406.24,0
21,2024-07-27 00:00:00,organic,36-45,T3+,cautious,3186.78,1
22,2024-11-03 00:00:00,social,36-45,T2,cautious,22012.78,0
23,2024-10-24 00:00:00,social,36-45,T2,balanced,6077.1,0
24,2024-02-18 00:00:00,paid_search,26-35,T2,balanced,3258.86,0
25,2024-10-12 00:00:00,organic,36-45,T1,cautious,2388.99,1
26,2024-10-23 00:00:00,social,26-35,T1,balanced,12057.63,1
27,2024-03-16 00:00:00,paid_search,18-25,T3+,cautious,12026.69,1
28,2024-07-18 00:00:00,paid_search,36-45,T1,balanced,7320.72,1
29,2024-06-13 00:00:00,organic,56+,T1,cautious,115952.65,0
30,2024-12-02 00:00:00,social,36-45,T2,balanced,5203.46,1
31,2024-09-17 00:00:00,organic,26-35,T1,cautious,3629.75,1
32,2024-12-07 00:00:00,social,26-35,T2,aggressive,4828.46,1
33,2024-11-24 00:00:00,referral,36-45,T3+,balanced,9130.44,1
34,2024-03-06 00:00:00,organic,36-45,T3+,cautious,2578.8,0
35,2024-04-17 00:00:00,organic,26-35,T3+,cautious,7072.32,1
36,2024-05-27 00:00:00,organic,26-35,T3+,balanced,1661.14,0
37,2024-08-10 00:00:00,social,26-35,T2,balanced,11212.22,0
38,2024-09-25 00:00:00,organic,36-45,T3+,cautious,9791.19,1
39,2024-09-17 00:00:00,referral,36-45,T2,balanced,7967.09,1
40,2024-02-04 00:00:00,paid_search,56+,T3+,balanced,5729.06,1
41,2024-01-05 00:00:00,paid_search,18-25,T2,balanced,5451.52,1
42,2024-05-07 00:00:00,referral,26-35,T1,cautious,11235.45,1
