user_id,acquisition_channel,risk_profile,city_tier,initial_cash_balance,visits_lifetime,visits_90d,content_views,buys_lifetime,buys_90d,aum,days_since_last_visit,churned_next_90d
1,referral,aggressive,T3+,79146.96,1,0,0,0,0,0.0,91,0
2,referral,balanced,T2,8201.97,9,5,2,0,0,0.0,26,0
4,referral,aggressive,T1,13110.98,6,0,5,0,0,0.0,109,1
5,bank_partner,cautious,T1,3423.82,1,0,0,0,0,0.0,149,1
6,bank_partner,cautious,T2,3420.07,1,0,0,0,0,0.0,179,0
7,referral,balanced,T1,4670.83,4,1,0,0,0,0.0,74,1
8,organic,cautious,T2,4413.8,3,1,1,0,0,0.0,73,1
9,bank_partner,aggressive,T3+,8118.29,4,0,2,0,0,0.0,196,1
10,paid_search,balanced,T1,985.05,1,0,1,0,0,0.0,175,1
11,organic,balanced,T2,76058.26,4,0,1,0,0,0.0,202,0
12,social,cautious,T2,5703.54,3,2,2,0,0,0.0,16,1
13,paid_search,cautious,T1,27424.31,1,1,0,0,0,0.0,78,1
15,paid_search,balanced,T2,19772.8,3,0,1,0,0,0.0,296,1
16,referral,aggressive,T1,69495.39,4,2,0,0,0,0.0,12,0
17,social,balanced,T3+,10811.07,2,0,1,0,0,0.0,164,1
18,paid_search,balanced,T1,24350.04,6,0,2,5,0,16458.71,170,0
19,paid_search,balanced,T2,29983.28,3,0,1,0,0,0.0,187,1
20,referral,balanced,T2,16406.24,8,4,3,2,0,7228.38,3,0
21,organic,cautious,T3+,3186.78,1,0,0,0,0,0.0,96,1
24,paid_search,balanced,T2,3258.86,1,0,1,0,0,0.0,314,1
27,paid_search,cautious,T3+,12026.69,6,0,4,2,0,7266.379999999999,154,0
28,paid_search,balanced,T1,7320.72,3,0,0,0,0,0.0,113,0
29,organic,cautious,T1,115952.65,2,0,1,0,0,0.0,187,1
31,organic,cautious,T1,3629.75,1,1,0,0,0,0.0,86,1
34,organic,cautious,T3+,2578.8,3,0,1,0,0,0.0,283,1
35,organic,cautious,T3+,7072.32,4,0,1,0,0,0.0,137,1
36,organic,balanced,T3+,1661.14,2,0,1,0,0,0.0,179,1
37,social,balanced,T2,11212.22,3,2,3,0,0,0.0,73,1
38,organic,cautious,T3+,9791.19,9,9,3,2,2,4109.45,32,0
39,referral,balanced,T2,7967.09,5,3,1,0,0,0.0,4,1
40,paid_search,balanced,T3+,5729.06,4,0,1,0,0,0.0,281,1
41,paid_search,balanced,T2,5451.52,1,1,0,0,0,0.0,84,1
42,referral,cautious,T1,11235.45,4,0,0,0,0,0.0,172,1
43,paid_search,aggressive,T1,20109.7,3,0,2,0,0,0.0,94,0
44,organic,cautious,T3+,16732.1,4,1,1,0,0,0.0,46,0
46,social,cautious,T2,6896.7,4,1,1,0,0,0.0,54,1
48,organic,balanced,T2,109811.11,2,0,2,0,0,0.0,297,1
49,paid_search,balanced,T2,9124.36,0,0,0,0,0,0.0,292,1
50,organic,balanced,T3+,7623.46,5,0,3,0,0,0.0,174,1
51,bank_partner,cautious,T1,9796.56,4,0,3,0,0,0.0,131,1
52,bank_partner,aggressive,T2,26414.03,3,1,2,0,0,0.0,80,1
53,referral,aggressive,T3+,48718.65,0,0,0,0,0,0.0,181,1
54,organic,cautious,T2,5218.33,2,0,2,0,0,0.0,175,1
55,organic,aggressive,T2,7865.09,4,0,2,2,0,1969.7400000000002,214,1
56,paid_search,balanced,T2,3081.79,4,0,0,0,0,0.0,144,1
57,paid_search,cautious,T2,21596.14,2,1,1,0,0,0.0,23,1
58,organic,aggressive,T2,1953.59,5,1,2,0,0,0.0,69,1
59,bank_partner,balanced,T2,6420.23,3,1,0,0,0,0.0,86,1
60,referral,cautious,T2,17988.88,4,4,2,0,0,0.0,8,1
61,bank_partner,balanced,T1,5399.97,5,4,0,0,0,0.0,4,0
63,bank_partner,cautious,T1,6140.64,2,0,2,0,0,0.0,138,1
64,paid_search,cautious,T2,24068.46,1,0,0,0,0,0.0,92,0
65,organic,balanced,T3+,16711.69,9,2,6,4,0,9344.85,18,1
68,bank_partner,balanced,T1,7322.05,3,1,1,0,0,0.0,81,1
69,paid_search,cautious,T2,25557.36,1,0,1,0,0,0.0,274,1
70,bank_partner,aggressive,T2,13315.01,2,1,0,0,0,0.0,69,1
71,referral,balanced,T2,6657.03,2,1,1,0,0,0.0,11,0
72,referral,aggressive,T3+,3354.52,2,0,1,0,0,0.0,297,0
74,referral,cautious,T2,1779.98,1,1,1,0,0,0.0,59,1
76,organic,balanced,T2,5545.43,9,1,6,2,0,1509.3899999999999,44,0
77,paid_search,cautious,T2,14911.29,2,0,1,0,0,0.0,116,1
78,organic,cautious,T2,1822.8,8,2,2,1,0,359.23,48,0
79,paid_search,aggressive,T3+,2831.99,4,2,1,1,0,543.73,1,0
80,organic,balanced,T1,10724.73,2,1,1,0,0,0.0,12,1
81,social,cautious,T1,2182.85,1,0,0,0,0,0.0,311,1
83,social,balanced,T3+,11368.24,1,1,0,0,0,0.0,87,1
84,organic,cautious,T2,4861.1,3,0,1,0,0,0.0,102,1
86,paid_search,balanced,T3+,21135.6,4,0,1,0,0,0.0,141,1
87,social,balanced,T2,909.69,2,0,1,0,0,0.0,303,1
89,referral,aggressive,T2,6897.79,15,1,9,1,0,2473.49,61,1
90,paid_search,balanced,T2,5240.33,13,3,7,3,2,3214.08,20,1
92,organic,cautious,T2,23182.67,1,0,0,0,0,0.0,99,1
94,bank_partner,aggressive,T1,9688.44,11,1,5,2,0,2523.59,35,1
95,social,balanced,T2,8088.4,4,0,1,0,0,0.0,100,1
96,paid_search,balanced,T2,22722.18,4,2,2,0,0,0.0,49,1
97,social,balanced,T2,80216.04,2,0,1,0,0,0.0,155,1
100,paid_search,balanced,T3+,18755.97,3,1,1,0,0,0.0,74,1
101,organic,balanced,T3+,13147.05,4,1,2,0,0,0.0,67,1
102,referral,balanced,T2,15798.24,0,0,0,0,0,0.0,150,1
103,social,cautious,T1,4873.04,0,0,0,0,0,0.0,136,1
104,referral,cautious,T1,2740.3,3,1,1,0,0,0.0,36,1
105,social,balanced,T2,3003.35,1,0,0,0,0,0.0,291,0
107,referral,cautious,T3+,27708.51,1,0,0,0,0,0.0,144,1
108,organic,balanced,T3+,186763.97,7,2,2,0,0,0.0,82,1
109,paid_search,cautious,T3+,8339.99,2,2,2,0,0,0.0,17,0
110,referral,balanced,T1,6842.04,2,1,0,0,0,0.0,54,1
111,social,balanced,T2,6103.18,2,0,0,0,0,0.0,122,1
112,social,balanced,T1,17701.46,1,1,1,0,0,0.0,86,1
114,organic,cautious,T3+,19674.64,8,4,6,2,1,4407.280000000001,0,0
115,referral,aggressive,T3+,9451.58,0,0,0,0,0,0.0,328,1
116,paid_search,cautious,T3+,9451.19,1,0,1,0,0,0.0,103,0
118,organic,balanced,T3+,651.94,4,1,2,0,0,0.0,54,1
120,organic,cautious,T3+,4317.76,4,0,2,0,0,0.0,109,0
121,paid_search,aggressive,T3+,11151.5,3,0,0,0,0,0.0,177,0
122,paid_search,cautious,T2,13842.52,4,0,0,0,0,0.0,210,1
123,social,balanced,T3+,7370.04,3,2,1,0,0,0.0,47,0
124,organic,balanced,T3+,7189.24,1,1,0,0,0,0.0,56,1
125,organic,cautious,T1,13862.46,4,1,0,0,0,0.0,35,1
126,social,aggressive,T1,36623.3,0,0,0,0,0,0.0,131,1
127,paid_search,aggressive,T3+,5102.32,4,0,2,0,0,0.0,163,0
128,paid_search,aggressive,T3+,1519.63,2,1,1,0,0,0.0,25,0
129,paid_search,aggressive,T2,3290.07,1,0,0,0,0,0.0,153,1
130,social,balanced,T3+,12011.2,4,1,0,0,0,0.0,14,1
131,organic,cautious,T1,41304.47,2,0,0,0,0,0.0,152,1
132,organic,balanced,T1,19153.46,4,0,1,0,0,0.0,265,1
133,paid_search,cautious,T1,2339.65,0,0,0,0,0,0.0,178,1
134,social,cautious,T1,36098.21,3,1,0,0,0,0.0,50,1
135,social,aggressive,T1,5623.88,1,0,1,0,0,0.0,236,1
137,organic,balanced,T3+,10561.94,1,0,0,0,0,0.0,106,1
138,bank_partner,balanced,T2,7379.79,4,1,1,0,0,0.0,11,1
139,organic,cautious,T2,4036.47,5,0,2,0,0,0.0,120,1
141,social,balanced,T3+,20505.19,6,0,1,0,0,0.0,105,1
142,paid_search,aggressive,T1,18671.37,0,0,0,0,0,0.0,205,1
143,organic,aggressive,T3+,12200.61,3,0,3,0,0,0.0,118,1
146,paid_search,balanced,T1,5096.5,2,0,1,0,0,0.0,140,1
147,organic,cautious,T1,4653.29,2,0,1,0,0,0.0,104,1
149,paid_search,balanced,T2,10432.67,7,0,0,0,0,0.0,221,1
150,organic,balanced,T2,13794.78,7,2,2,0,0,0.0,19,1
152,social,cautious,T1,6726.03,5,1,1,0,0,0.0,21,1
153,referral,balanced,T3+,24175.86,7,5,2,2,2,4567.82,24,1
154,bank_partner,balanced,T3+,2035.91,1,0,0,0,0,0.0,231,1
156,referral,aggressive,T3+,9762.59,1,0,0,0,0,0.0,235,1
157,referral,balanced,T3+,10580.86,3,0,1,0,0,0.0,126,0
158,referral,cautious,T3+,14076.33,1,1,1,0,0,0.0,11,1
159,paid_search,cautious,T3+,25350.21,3,0,2,0,0,0.0,164,0
160,organic,cautious,T1,7936.46,3,0,0,0,0,0.0,170,1
161,organic,aggressive,T1,59125.43,3,0,0,0,0,0.0,155,1
162,paid_search,cautious,T2,10159.56,1,0,1,0,0,0.0,311,1
165,paid_search,cautious,T2,6839.82,4,0,1,0,0,0.0,229,1
166,social,balanced,T2,33332.36,0,0,0,0,0,0.0,323,1
167,referral,cautious,T1,5008.15,2,0,1,0,0,0.0,101,1
168,organic,balanced,T3+,8610.37,3,1,1,0,0,0.0,15,1
169,referral,balanced,T1,13183.6,9,0,4,1,0,1509.19,95,1
170,referral,aggressive,T3+,27050.02,4,2,2,3,2,12804.300000000001,75,1
173,organic,cautious,T3+,5751.93,4,0,1,0,0,0.0,103,0
175,organic,balanced,T1,13918.53,3,1,0,0,0,0.0,63,1
176,paid_search,cautious,T3+,5301.6,4,1,2,0,0,0.0,90,0
178,paid_search,balanced,T3+,5077.35,6,4,2,0,0,0.0,67,1
181,social,balanced,T3+,580.7,2,0,2,0,0,0.0,174,1
182,referral,cautious,T1,4764.07,2,0,0,0,0,0.0,151,0
184,social,cautious,T3+,45236.84,1,0,0,0,0,0.0,143,1
185,paid_search,cautious,T1,6897.65,2,0,1,0,0,0.0,207,1
187,organic,balanced,T1,8275.32,5,1,2,0,0,0.0,1,1
189,bank_partner,balanced,T1,968.47,4,4,1,0,0,0.0,0,0
190,organic,balanced,T2,5216.06,7,2,4,1,0,1141.47,1,1
192,social,cautious,T1,11679.86,1,1,0,0,0,0.0,80,1
193,organic,balanced,T2,19054.97,0,0,0,0,0,0.0,220,1
194,organic,balanced,T3+,8087.45,2,0,0,0,0,0.0,126,1
195,organic,balanced,T2,13517.44,3,2,1,0,0,0.0,22,0
196,organic,balanced,T2,3755.77,4,1,1,0,0,0.0,16,0
197,organic,balanced,T1,3968.56,0,0,0,0,0,0.0,171,1
198,paid_search,balanced,T3+,29615.94,1,1,0,0,0,0.0,72,1
200,organic,aggressive,T2,17663.04,2,2,1,0,0,0.0,48,0
201,bank_partner,balanced,T3+,1871.53,2,0,0,0,0,0.0,135,1
205,bank_partner,balanced,T2,1441.84,9,0,2,6,2,1591.47,170,1
206,paid_search,aggressive,T2,1001.03,4,2,2,0,0,0.0,50,1
207,organic,balanced,T3+,3038.38,2,0,0,0,0,0.0,274,1
208,organic,cautious,T3+,9695.22,0,0,0,0,0,0.0,296,0
209,paid_search,cautious,T2,22422.14,5,0,3,0,0,0.0,216,1
210,referral,cautious,T2,21542.15,1,0,0,0,0,0.0,235,1
211,referral,cautious,T3+,20446.19,1,0,0,0,0,0.0,91,1
212,organic,balanced,T2,22675.4,0,0,0,0,0,0.0,315,0
214,organic,cautious,T3+,20645.91,1,0,1,0,0,0.0,223,1
215,organic,balanced,T2,77773.18,4,0,2,0,0,0.0,109,0
216,paid_search,cautious,T1,12234.72,9,2,1,0,0,0.0,2,0
217,bank_partner,cautious,T3+,877.75,6,1,0,0,0,0.0,64,1
