month,buyers,gross_inflow,redemption,net_flow,cumulative_aum,net_flow_mom
2024-01-01,49,244582.88,0.0,244582.88,244582.88,
2024-02-01,124,701459.65,0.0,701459.65,946042.53,1.868
2024-03-01,168,762168.3,730.53,761437.77,1707480.3,0.0855
2024-04-01,186,729647.82,380.24,729267.58,2436747.88,-0.0422
2024-05-01,221,854090.73,4770.75,849319.98,3286067.86,0.1646
2024-06-01,233,1064412.27,17501.14,1046911.13,4332978.99,0.2326
2024-07-01,254,881277.66,15663.96,865613.7,5198592.69,-0.1732
2024-08-01,278,1092135.24,29024.5,1063110.74,6261703.43,0.2282
2024-09-01,263,1001021.72,33137.54,967884.18,7229587.61,-0.0896
2024-10-01,277,1025759.8,31879.92,993879.88,8223467.49,0.0269
2024-11-01,249,915618.23,47430.3,868187.93,9091655.42,-0.1265
2024-12-01,248,933802.58,41475.95,892326.63,9983982.05,0.0278
2025-01-01,201,766847.56,40195.61,726651.95,10710634.0,-0.1857
2025-02-01,130,279249.41,27261.7,251987.71,10962621.71,-0.6532
2025-03-01,87,227766.01,89627.99,138138.02,11100759.73,-0.4518
