cohort_month,month_number,cohort_size,retained_users,retention_rate
2024-01-01,0,987,987,1.0
2024-01-01,1,987,571,0.5785
2024-01-01,2,987,433,0.4387
2024-01-01,3,987,265,0.2685
2024-01-01,4,987,180,0.1824
2024-01-01,5,987,127,0.1287
2024-01-01,6,987,90,0.0912
2024-02-01,0,953,953,1.0
2024-02-01,1,953,564,0.5918
2024-02-01,2,953,397,0.4166
2024-02-01,3,953,278,0.2917
2024-02-01,4,953,169,0.1773
2024-02-01,5,953,150,0.1574
2024-02-01,6,953,93,0.0976
2024-03-01,0,997,997,1.0
2024-03-01,1,997,587,0.5888
2024-03-01,2,997,418,0.4193
2024-03-01,3,997,283,0.2839
2024-03-01,4,997,172,0.1725
2024-03-01,5,997,139,0.1394
2024-03-01,6,997,114,0.1143
2024-04-01,0,946,946,1.0
2024-04-01,1,946,574,0.6068
2024-04-01,2,946,374,0.3953
2024-04-01,3,946,294,0.3108
2024-04-01,4,946,181,0.1913
2024-04-01,5,946,139,0.1469
2024-04-01,6,946,108,0.1142
2024-05-01,0,1018,1018,1.0
2024-05-01,1,1018,585,0.5747
2024-05-01,2,1018,449,0.4411
2024-05-01,3,1018,318,0.3124
2024-05-01,4,1018,203,0.1994
2024-05-01,5,1018,158,0.1552
2024-05-01,6,1018,102,0.1002
2024-06-01,0,1007,1007,1.0
2024-06-01,1,1007,627,0.6226
2024-06-01,2,1007,429,0.426
2024-06-01,3,1007,282,0.28
2024-06-01,4,1007,195,0.1936
2024-06-01,5,1007,164,0.1629
2024-06-01,6,1007,130,0.1291
2024-07-01,0,1038,1038,1.0
2024-07-01,1,1038,619,0.5963
2024-07-01,2,1038,469,0.4518
2024-07-01,3,1038,333,0.3208
2024-07-01,4,1038,203,0.1956
2024-07-01,5,1038,184,0.1773
2024-07-01,6,1038,139,0.1339
2024-08-01,0,1025,1025,1.0
2024-08-01,1,1025,608,0.5932
2024-08-01,2,1025,427,0.4166
2024-08-01,3,1025,298,0.2907
2024-08-01,4,1025,233,0.2273
2024-08-01,5,1025,170,0.1659
2024-08-01,6,1025,143,0.1395
2024-09-01,0,993,993,1.0
2024-09-01,1,993,619,0.6234
2024-09-01,2,993,441,0.4441
2024-09-01,3,993,335,0.3374
2024-09-01,4,993,255,0.2568
2024-09-01,5,993,157,0.1581
2024-09-01,6,993,221,0.2226
2024-10-01,0,1049,1049,1.0
2024-10-01,1,1049,627,0.5977
2024-10-01,2,1049,474,0.4519
2024-10-01,3,1049,373,0.3556
2024-10-01,4,1049,238,0.2269
2024-10-01,5,1049,298,0.2841
2024-11-01,0,958,958,1.0
2024-11-01,1,958,571,0.596
2024-11-01,2,958,433,0.452
2024-11-01,3,958,305,0.3184
2024-11-01,4,958,377,0.3935
2024-12-01,0,1029,1029,1.0
2024-12-01,1,1029,685,0.6657
2024-12-01,2,1029,474,0.4606
2024-12-01,3,1029,563,0.5471
