user_id,registered_at,acquisition_channel,risk_profile,account_opened_at,first_buy_at,buy_count,last_visit_at,days_since_last_visit,lifecycle_stage
1,2024-03-02 00:00:00,referral,aggressive,,,0,2025-01-20 08:00:00,69,dormant
2,2024-09-13 00:00:00,referral,balanced,2024-09-20 10:00:00,,0,2025-02-24 18:00:00,34,opened_not_invested
3,2024-10-28 00:00:00,social,balanced,2024-11-05 10:00:00,,0,2024-12-31 09:00:00,89,dormant
4,2024-04-04 00:00:00,referral,aggressive,2024-04-05 10:00:00,,0,2024-09-13 07:00:00,198,dormant
5,2024-07-27 00:00:00,bank_partner,cautious,,,0,2024-08-04 14:00:00,238,dormant
6,2024-06-04 00:00:00,bank_partner,cautious,,,0,2025-03-28 08:00:00,2,registered_only
7,2024-04-10 00:00:00,referral,balanced,,,0,2024-10-18 19:00:00,163,dormant
8,2024-07-21 00:00:00,organic,cautious,,,0,2024-10-19 09:00:00,162,dormant
9,2024-05-20 00:00:00,bank_partner,aggressive,,,0,2024-06-18 12:00:00,285,dormant
10,2024-06-20 00:00:00,paid_search,balanced,,,0,2024-07-09 11:00:00,264,dormant
11,2024-03-30 00:00:00,organic,balanced,,,0,2025-01-20 07:00:00,69,dormant
12,2024-08-16 00:00:00,social,cautious,,,0,2024-12-15 11:00:00,105,dormant
13,2024-08-10 00:00:00,paid_search,cautious,,,0,2024-10-14 15:00:00,167,dormant
14,2024-11-23 00:00:00,organic,balanced,,,0,2025-03-25 18:00:00,5,registered_only
15,2024-01-07 00:00:00,paid_search,balanced,2024-01-10 10:00:00,,0,2024-03-10 11:00:00,385,dormant
16,2024-09-15 00:00:00,referral,aggressive,,,0,2025-02-06 15:00:00,52,registered_only
17,2024-06-07 00:00:00,social,balanced,,,0,2024-07-20 18:00:00,253,dormant
18,2024-01-24 00:00:00,paid_search,balanced,2024-01-27 10:00:00,2024-02-04 14:00:00,5,2025-02-19 17:00:00,39,repeat_active
19,2024-03-04 00:00:00,paid_search,balanced,,,0,2024-06-27 15:00:00,276,dormant
20,2024-08-12 00:00:00,referral,balanced,2024-08-19 10:00:00,2024-08-21 14:00:00,2,2025-02-15 15:00:00,43,repeat_active
21,2024-07-27 00:00:00,organic,cautious,,,0,2024-09-26 12:00:00,185,dormant
22,2024-11-03 00:00:00,social,cautious,,,0,2025-01-17 10:00:00,72,dormant
23,2024-10-24 00:00:00,social,balanced,,,0,2025-02-01 09:00:00,57,registered_only
24,2024-02-18 00:00:00,paid_search,balanced,,,0,2024-02-21 13:00:00,403,dormant
25,2024-10-12 00:00:00,organic,cautious,,,0,2025-03-22 08:00:00,8,registered_only
26,2024-10-23 00:00:00,social,balanced,,,0,2025-02-13 19:00:00,45,registered_only
27,2024-03-16 00:00:00,paid_search,cautious,2024-03-22 10:00:00,2024-04-04 14:00:00,2,2025-03-13 15:00:00,17,repeat_active
28,2024-07-18 00:00:00,paid_search,balanced,2024-07-28 10:00:00,,0,2025-03-08 11:00:00,22,opened_not_invested
29,2024-06-13 00:00:00,organic,cautious,,,0,2024-06-27 21:00:00,276,dormant
30,2024-12-02 00:00:00,social,balanced,,,0,2024-12-26 14:00:00,94,dormant
31,2024-09-17 00:00:00,organic,cautious,,,0,2024-10-06 22:00:00,175,dormant
32,2024-12-07 00:00:00,social,aggressive,,,0,2025-03-31 22:00:00,0,registered_only
33,2024-11-24 00:00:00,referral,balanced,,,0,2025-03-18 11:00:00,12,registered_only
34,2024-03-06 00:00:00,organic,cautious,,,0,2024-03-23 10:00:00,372,dormant
35,2024-04-17 00:00:00,organic,cautious,,,0,2024-08-16 16:00:00,226,dormant
36,2024-05-27 00:00:00,organic,balanced,,,0,2024-07-05 18:00:00,268,dormant
37,2024-08-10 00:00:00,social,balanced,,,0,2024-10-19 07:00:00,162,dormant
38,2024-09-25 00:00:00,organic,cautious,2024-10-02 10:00:00,2024-10-04 14:00:00,3,2025-01-18 17:00:00,71,dormant
39,2024-09-17 00:00:00,referral,balanced,2024-09-21 10:00:00,,0,2024-12-27 12:00:00,93,dormant
40,2024-02-04 00:00:00,paid_search,balanced,,,0,2024-03-25 10:00:00,370,dormant
41,2024-01-05 00:00:00,paid_search,balanced,,,0,2024-10-08 20:00:00,173,dormant
42,2024-05-07 00:00:00,referral,cautious,,,0,2024-07-12 22:00:00,261,dormant
43,2024-08-05 00:00:00,paid_search,aggressive,,,0,2025-03-23 09:00:00,7,registered_only
44,2024-04-23 00:00:00,organic,cautious,2024-04-25 10:00:00,,0,2025-03-30 18:00:00,0,opened_not_invested
45,2024-10-23 00:00:00,social,balanced,2024-10-29 10:00:00,,0,2025-03-06 17:00:00,24,opened_not_invested
46,2024-06-23 00:00:00,social,cautious,,,0,2024-11-07 22:00:00,143,dormant
47,2024-11-14 00:00:00,paid_search,cautious,,,0,2024-12-29 22:00:00,91,dormant
48,2024-02-03 00:00:00,organic,balanced,,,0,2024-03-09 10:00:00,386,dormant
49,2024-03-15 00:00:00,paid_search,balanced,,,0,,381,dormant
50,2024-05-02 00:00:00,organic,balanced,,,0,2024-07-10 18:00:00,263,dormant
51,2024-02-29 00:00:00,bank_partner,cautious,,,0,2024-08-22 22:00:00,220,dormant
52,2024-02-11 00:00:00,bank_partner,aggressive,2024-02-20 10:00:00,,0,2024-10-12 07:00:00,169,dormant
53,2024-07-04 00:00:00,referral,aggressive,,,0,,270,dormant
54,2024-01-16 00:00:00,organic,cautious,,,0,2024-07-09 14:00:00,264,dormant
55,2024-03-17 00:00:00,organic,aggressive,2024-03-24 10:00:00,2024-03-28 14:00:00,2,2024-05-31 18:00:00,303,dormant
56,2024-04-29 00:00:00,paid_search,balanced,,,0,2024-08-09 17:00:00,233,dormant
57,2024-08-26 00:00:00,paid_search,cautious,,,0,2024-12-08 21:00:00,112,dormant
58,2024-03-26 00:00:00,organic,aggressive,,,0,2024-10-23 21:00:00,158,dormant
59,2024-05-29 00:00:00,bank_partner,balanced,,,0,2024-10-06 21:00:00,175,dormant
60,2024-09-01 00:00:00,referral,cautious,2024-09-10 10:00:00,,0,2024-12-23 11:00:00,97,dormant
61,2024-09-27 00:00:00,bank_partner,balanced,2024-10-01 10:00:00,,0,2025-02-14 16:00:00,44,opened_not_invested
62,2024-10-06 00:00:00,organic,cautious,,,0,2025-01-20 17:00:00,69,dormant
63,2024-07-05 00:00:00,bank_partner,cautious,,,0,2024-08-15 18:00:00,227,dormant
64,2024-08-31 00:00:00,paid_search,cautious,,,0,2025-03-31 11:00:00,0,registered_only
65,2024-02-22 00:00:00,organic,balanced,2024-02-25 10:00:00,2024-03-12 14:00:00,4,2024-12-13 08:00:00,107,dormant
66,2024-12-22 00:00:00,paid_search,cautious,,,0,2025-03-30 21:00:00,0,registered_only
67,2024-11-09 00:00:00,organic,cautious,,,0,2025-03-20 20:00:00,10,registered_only
68,2024-05-26 00:00:00,bank_partner,balanced,,,0,2024-10-11 15:00:00,170,dormant
69,2024-01-20 00:00:00,paid_search,cautious,,,0,2024-04-01 11:00:00,363,dormant
70,2024-04-03 00:00:00,bank_partner,aggressive,,,0,2024-10-23 21:00:00,158,dormant
71,2024-07-31 00:00:00,referral,balanced,2024-08-04 10:00:00,,0,2025-02-12 11:00:00,46,opened_not_invested
72,2024-01-31 00:00:00,referral,aggressive,2024-02-19 10:00:00,,0,2025-01-10 18:00:00,79,dormant
73,2024-10-11 00:00:00,organic,balanced,2024-10-16 10:00:00,,0,2025-02-09 16:00:00,49,opened_not_invested
74,2024-09-29 00:00:00,referral,cautious,,,0,2024-11-02 13:00:00,148,dormant
75,2024-12-10 00:00:00,bank_partner,cautious,,,0,2024-12-16 11:00:00,104,dormant
76,2024-03-22 00:00:00,organic,balanced,2024-03-30 10:00:00,2024-04-04 14:00:00,2,2025-03-31 08:00:00,0,repeat_active
77,2024-04-18 00:00:00,paid_search,cautious,,,0,2024-09-06 14:00:00,205,dormant
78,2024-01-19 00:00:00,organic,cautious,2024-01-24 10:00:00,2024-01-26 14:00:00,1,2025-01-21 21:00:00,68,dormant
79,2024-06-21 00:00:00,paid_search,aggressive,2024-06-27 10:00:00,2024-06-30 14:00:00,1,2025-02-25 12:00:00,33,first_invest_active
80,2024-09-20 00:00:00,organic,balanced,,,0,2024-12-19 11:00:00,101,dormant
81,2024-01-02 00:00:00,social,cautious,,,0,2024-02-24 22:00:00,400,dormant
82,2024-12-31 00:00:00,organic,cautious,,,0,2025-01-25 07:00:00,64,dormant
83,2024-07-13 00:00:00,social,balanced,,,0,2024-10-05 16:00:00,176,dormant
84,2024-07-16 00:00:00,organic,cautious,,,0,2024-09-20 22:00:00,191,dormant
85,2024-12-06 00:00:00,referral,aggressive,2024-12-18 10:00:00,,0,2025-03-31 20:00:00,0,opened_not_invested
86,2024-06-10 00:00:00,paid_search,balanced,,,0,2024-08-12 12:00:00,230,dormant
87,2024-01-10 00:00:00,social,balanced,,,0,2024-03-03 13:00:00,392,dormant
88,2024-12-03 00:00:00,organic,balanced,,,0,,118,dormant
89,2024-06-21 00:00:00,referral,aggressive,2024-06-29 10:00:00,2024-07-12 14:00:00,1,2024-10-31 21:00:00,150,dormant
90,2024-06-02 00:00:00,paid_search,balanced,2024-06-07 10:00:00,2024-06-16 14:00:00,3,2024-12-11 08:00:00,109,dormant
91,2024-11-07 00:00:00,referral,cautious,2024-11-12 10:00:00,,0,2025-03-31 19:00:00,0,opened_not_invested
92,2024-07-16 00:00:00,organic,cautious,,,0,2024-09-23 14:00:00,188,dormant
93,2024-11-20 00:00:00,paid_search,aggressive,,,0,2025-03-31 10:00:00,0,registered_only
94,2024-06-13 00:00:00,bank_partner,aggressive,2024-06-24 10:00:00,2024-07-06 14:00:00,2,2024-11-26 16:00:00,124,dormant
95,2024-04-23 00:00:00,social,balanced,,,0,2024-09-22 07:00:00,189,dormant
