user_id,risk_profile,acquisition_channel,aum,buy_frequency,last_buy_at,aum_quartile,frequency_quartile,strategy_segment
1137,aggressive,social,150007.96,3,2025-03-08 15:00:00,4,3,high_value_active
3982,cautious,referral,143863.55,3,2024-10-05 15:00:00,4,3,high_value_at_risk
9187,cautious,referral,82811.12,3,2024-04-11 15:00:00,4,4,high_value_at_risk
10933,balanced,paid_search,78503.02,1,2024-10-01 14:00:00,4,2,high_value_at_risk
3708,balanced,paid_search,66905.77,2,2024-05-16 15:00:00,4,2,high_value_at_risk
9152,balanced,organic,66598.71,1,2024-12-24 14:00:00,4,1,high_value_at_risk
7007,balanced,referral,65171.34,2,2025-01-18 15:00:00,4,2,growth_investor
3852,aggressive,social,64263.79,6,2025-01-26 15:00:00,4,4,high_value_active
10104,balanced,referral,63011.71,3,2024-10-05 15:00:00,4,4,high_value_at_risk
502,balanced,paid_search,60854.71,3,2024-09-16 15:00:00,4,3,high_value_at_risk
11803,cautious,social,60104.28,2,2024-03-15 15:00:00,4,3,high_value_at_risk
5335,cautious,organic,56706.81,1,2024-05-15 14:00:00,4,1,high_value_at_risk
1340,balanced,paid_search,56652.0,3,2024-10-28 15:00:00,4,3,high_value_at_risk
9679,balanced,organic,52424.99,2,2024-04-11 15:00:00,4,3,high_value_at_risk
11109,balanced,organic,51180.98,5,2024-12-31 15:00:00,4,4,high_value_active
7527,balanced,paid_search,50960.85,3,2024-07-24 15:00:00,4,4,high_value_at_risk
1725,balanced,social,49496.9,1,2024-04-27 14:00:00,4,1,high_value_at_risk
1189,aggressive,paid_search,48925.69,4,2025-02-09 15:00:00,4,4,high_value_active
10943,balanced,organic,46611.06,2,2025-03-03 15:00:00,4,3,high_value_active
380,cautious,organic,45435.49,4,2025-02-19 15:00:00,4,4,high_value_active
8442,balanced,social,45140.15,2,2024-08-28 15:00:00,4,3,high_value_at_risk
4860,balanced,referral,44514.25,3,2024-10-23 15:00:00,4,3,high_value_at_risk
7365,balanced,paid_search,42323.3,1,2024-06-16 14:00:00,4,1,high_value_at_risk
10662,cautious,bank_partner,42204.94,3,2024-08-13 15:00:00,4,4,high_value_at_risk
7155,aggressive,social,41949.52,3,2024-11-05 15:00:00,4,4,high_value_at_risk
6581,balanced,bank_partner,40822.68,2,2024-09-21 15:00:00,4,2,high_value_at_risk
1704,cautious,paid_search,40719.51,2,2024-04-09 15:00:00,4,2,high_value_at_risk
957,balanced,referral,40287.9,1,2024-11-25 14:00:00,4,1,high_value_at_risk
9938,balanced,organic,40278.99,2,2024-12-08 15:00:00,4,3,high_value_at_risk
6806,balanced,paid_search,40078.52,3,2025-02-06 15:00:00,4,4,high_value_active
9271,balanced,organic,40051.12,2,2025-03-29 15:00:00,4,3,high_value_active
6875,balanced,organic,40027.61,2,2024-04-12 15:00:00,4,2,high_value_at_risk
5963,aggressive,paid_search,39515.96,3,2025-02-16 15:00:00,4,4,high_value_active
5745,balanced,social,39350.88,3,2024-09-13 15:00:00,4,4,high_value_at_risk
606,cautious,paid_search,37275.43,1,2025-01-07 14:00:00,4,1,growth_investor
10602,balanced,organic,35059.18,1,2024-03-15 14:00:00,4,1,high_value_at_risk
4004,cautious,referral,34856.54,3,2024-11-24 15:00:00,4,3,high_value_at_risk
7682,cautious,organic,34689.97,3,2024-11-19 15:00:00,4,4,high_value_at_risk
1798,balanced,paid_search,34565.58,5,2025-03-08 15:00:00,4,4,high_value_active
8725,balanced,social,34224.23,2,2024-08-28 15:00:00,4,3,high_value_at_risk
1795,balanced,paid_search,33824.67,3,2024-07-23 15:00:00,4,3,high_value_at_risk
1616,balanced,paid_search,33551.73,4,2024-10-21 15:00:00,4,4,high_value_at_risk
4140,aggressive,referral,33470.01,6,2024-11-12 15:00:00,4,4,high_value_at_risk
5414,balanced,organic,33164.33,5,2024-08-02 15:00:00,4,4,high_value_at_risk
8765,cautious,organic,32543.88,2,2024-04-15 15:00:00,4,3,high_value_at_risk
10078,balanced,organic,32273.18,2,2024-03-09 15:00:00,4,3,high_value_at_risk
4904,aggressive,social,32122.06,2,2024-07-07 15:00:00,4,2,high_value_at_risk
10108,aggressive,organic,31824.86,3,2025-02-22 15:00:00,4,4,high_value_active
2217,aggressive,organic,31718.5,4,2025-02-22 15:00:00,4,4,high_value_active
9637,aggressive,paid_search,31620.73,2,2024-08-23 15:00:00,4,3,high_value_at_risk
1442,balanced,referral,31551.33,4,2025-02-22 15:00:00,4,4,high_value_active
8243,aggressive,social,30816.58,6,2024-12-30 15:00:00,4,4,high_value_at_risk
7904,balanced,referral,30803.91,1,2024-08-14 14:00:00,4,1,high_value_at_risk
6481,balanced,social,30611.83,2,2024-04-08 15:00:00,4,2,high_value_at_risk
6770,cautious,referral,30239.69,2,2024-06-22 15:00:00,4,2,high_value_at_risk
5371,balanced,organic,29905.88,1,2024-12-05 14:00:00,4,1,high_value_at_risk
4426,balanced,bank_partner,29849.96,3,2024-05-13 15:00:00,4,3,high_value_at_risk
838,balanced,organic,29807.65,2,2024-10-30 15:00:00,4,2,high_value_at_risk
7718,cautious,social,29713.92,5,2025-01-08 15:00:00,4,4,high_value_active
4232,aggressive,bank_partner,28985.67,3,2025-03-27 15:00:00,4,3,high_value_active
5369,cautious,organic,28284.2,2,2024-09-08 15:00:00,4,2,high_value_at_risk
7232,aggressive,organic,28270.65,4,2025-01-27 15:00:00,4,4,high_value_active
1404,cautious,social,27464.97,3,2024-11-11 15:00:00,4,3,high_value_at_risk
637,balanced,bank_partner,27219.95,1,2024-06-29 14:00:00,4,1,high_value_at_risk
3818,balanced,paid_search,26986.25,4,2024-08-16 15:00:00,4,4,high_value_at_risk
410,balanced,organic,26892.17,2,2025-02-28 15:00:00,4,2,growth_investor
5972,balanced,bank_partner,26891.91,3,2024-07-07 15:00:00,4,4,high_value_at_risk
2496,cautious,paid_search,26598.53,2,2025-01-10 15:00:00,4,2,growth_investor
7294,aggressive,referral,26270.38,3,2024-05-21 15:00:00,4,4,high_value_at_risk
3639,balanced,social,25984.6,2,2024-06-06 15:00:00,4,2,high_value_at_risk
4907,balanced,bank_partner,25520.0,3,2024-08-26 15:00:00,4,3,high_value_at_risk
11538,cautious,organic,25448.28,2,2024-12-20 15:00:00,4,3,high_value_at_risk
7774,cautious,paid_search,25408.95,4,2024-10-25 15:00:00,4,4,high_value_at_risk
7693,balanced,paid_search,25286.39,3,2024-05-15 15:00:00,4,4,high_value_at_risk
9069,balanced,bank_partner,25115.98,2,2024-07-26 15:00:00,4,3,high_value_at_risk
10397,aggressive,organic,24859.59,4,2024-10-22 15:00:00,4,4,high_value_at_risk
4755,cautious,organic,24815.84,1,2024-08-07 14:00:00,4,1,high_value_at_risk
8121,balanced,paid_search,24682.82,3,2024-12-07 15:00:00,4,4,high_value_at_risk
11406,cautious,paid_search,24442.52,3,2025-03-13 15:00:00,4,4,high_value_active
10726,balanced,referral,24308.69,2,2025-01-01 15:00:00,4,3,high_value_active
8724,balanced,referral,24122.07,4,2024-12-07 15:00:00,4,4,high_value_at_risk
11744,aggressive,social,24114.4,5,2025-02-11 15:00:00,4,4,high_value_active
6884,balanced,paid_search,23980.88,2,2024-07-22 15:00:00,4,2,high_value_at_risk
5748,balanced,organic,23954.28,2,2025-02-02 15:00:00,4,2,growth_investor
5669,cautious,bank_partner,23851.75,3,2024-06-08 15:00:00,4,4,high_value_at_risk
10572,balanced,social,23614.61,4,2024-09-27 15:00:00,4,4,high_value_at_risk
697,cautious,bank_partner,23610.03,3,2024-11-06 15:00:00,4,3,high_value_at_risk
6017,cautious,organic,23389.25,2,2024-09-19 15:00:00,4,2,high_value_at_risk
4248,balanced,social,23309.59,2,2024-09-30 15:00:00,4,2,high_value_at_risk
11459,cautious,bank_partner,23134.14,1,2024-12-07 14:00:00,4,2,high_value_at_risk
11640,balanced,social,22825.69,3,2024-11-08 15:00:00,4,4,high_value_at_risk
4971,cautious,bank_partner,22760.21,4,2024-12-13 15:00:00,4,4,high_value_at_risk
11125,cautious,organic,22707.42,3,2025-01-30 15:00:00,4,4,high_value_active
11941,balanced,organic,22522.42,2,2025-03-06 15:00:00,4,3,high_value_active
8097,balanced,referral,22385.94,2,2024-10-09 15:00:00,4,3,high_value_at_risk
3662,balanced,referral,22213.57,4,2025-01-08 15:00:00,4,4,high_value_active
10605,aggressive,referral,22153.73,2,2024-02-13 15:00:00,4,3,high_value_at_risk
2673,cautious,organic,22148.86,3,2024-07-25 15:00:00,4,3,high_value_at_risk
4817,balanced,paid_search,22079.94,3,2024-10-01 15:00:00,4,3,high_value_at_risk
5062,balanced,bank_partner,21910.69,3,2024-09-20 15:00:00,4,3,high_value_at_risk
4272,balanced,paid_search,21548.06,3,2024-08-26 15:00:00,4,3,high_value_at_risk
10639,cautious,organic,21373.76,2,2025-03-16 15:00:00,4,3,high_value_active
3382,balanced,paid_search,21277.87,2,2024-04-25 15:00:00,4,2,high_value_at_risk
4377,balanced,organic,21252.15,3,2024-11-26 15:00:00,4,3,high_value_at_risk
10644,balanced,organic,21248.58,2,2025-01-14 15:00:00,4,3,high_value_active
2019,balanced,referral,21197.46,1,2024-06-06 14:00:00,4,1,high_value_at_risk
6597,balanced,bank_partner,21100.09,4,2024-11-16 15:00:00,4,4,high_value_at_risk
5989,cautious,organic,21052.49,1,2025-01-05 14:00:00,4,1,growth_investor
1615,cautious,social,20940.69,4,2024-10-02 15:00:00,4,4,high_value_at_risk
8547,balanced,referral,20932.79,1,2024-11-28 14:00:00,4,1,high_value_at_risk
3251,cautious,social,20818.59,4,2024-12-05 15:00:00,4,4,high_value_at_risk
4235,cautious,paid_search,20792.2,2,2024-10-21 15:00:00,4,2,high_value_at_risk
4461,aggressive,organic,20760.94,6,2025-01-03 15:00:00,4,4,high_value_active
8275,balanced,organic,20616.09,2,2025-01-27 15:00:00,4,3,high_value_active
2417,cautious,paid_search,20585.63,3,2024-11-26 15:00:00,4,3,high_value_at_risk
1235,balanced,organic,20432.89,6,2025-03-10 15:00:00,4,4,high_value_active
5223,balanced,social,20404.48,1,2024-05-18 14:00:00,4,1,high_value_at_risk
8950,cautious,organic,20390.37,3,2024-12-03 15:00:00,4,4,high_value_at_risk
10135,cautious,paid_search,20362.55,2,2024-07-29 15:00:00,4,3,high_value_at_risk
6772,balanced,organic,20353.13,2,2024-03-23 15:00:00,4,2,high_value_at_risk
4142,balanced,paid_search,20249.97,2,2024-09-04 15:00:00,4,2,high_value_at_risk
2595,aggressive,organic,20243.63,2,2024-10-21 15:00:00,4,2,high_value_at_risk
11460,balanced,social,20239.44,1,2024-10-07 14:00:00,4,2,high_value_at_risk
8661,cautious,bank_partner,20198.17,1,2024-02-10 14:00:00,4,1,high_value_at_risk
11185,balanced,referral,20183.24,5,2025-02-12 15:00:00,4,4,high_value_active
1072,aggressive,bank_partner,20172.68,4,2024-10-02 15:00:00,4,4,high_value_at_risk
5395,balanced,organic,20146.01,4,2024-09-10 15:00:00,4,4,high_value_at_risk
3919,cautious,referral,20026.77,5,2025-03-20 15:00:00,4,4,high_value_active
7503,cautious,social,19997.87,4,2025-02-22 15:00:00,4,4,high_value_active
418,balanced,paid_search,19993.82,2,2024-08-19 15:00:00,4,2,high_value_at_risk
11001,balanced,bank_partner,19940.21,2,2025-02-03 15:00:00,4,3,high_value_active
5226,cautious,referral,19912.55,1,2024-05-08 14:00:00,4,1,high_value_at_risk
1679,aggressive,organic,19736.51,3,2024-07-28 15:00:00,4,3,high_value_at_risk
6733,balanced,organic,19707.37,3,2024-08-23 15:00:00,4,4,high_value_at_risk
1867,balanced,organic,19683.55,3,2025-03-25 15:00:00,4,3,high_value_active
6823,cautious,organic,19627.09,2,2025-02-18 15:00:00,4,2,growth_investor
7797,balanced,social,19547.48,3,2025-02-26 15:00:00,4,4,high_value_active
7973,balanced,bank_partner,19420.14,2,2024-07-01 15:00:00,4,3,high_value_at_risk
2257,cautious,organic,19330.47,3,2024-05-17 15:00:00,4,3,high_value_at_risk
8733,cautious,social,19273.41,3,2024-06-28 15:00:00,4,4,high_value_at_risk
11374,cautious,referral,19124.44,3,2024-07-07 15:00:00,4,4,high_value_at_risk
4178,cautious,organic,18852.83,2,2024-08-22 15:00:00,4,2,high_value_at_risk
179,cautious,social,18837.66,3,2025-03-20 15:00:00,4,3,high_value_active
2929,balanced,referral,18587.8,3,2024-11-26 15:00:00,4,3,high_value_at_risk
7268,cautious,referral,18452.53,2,2024-10-18 15:00:00,4,3,high_value_at_risk
597,balanced,organic,18394.68,4,2024-10-11 15:00:00,4,4,high_value_at_risk
1135,aggressive,organic,18202.85,2,2024-08-19 15:00:00,4,2,high_value_at_risk
11619,cautious,referral,18118.9,3,2024-10-12 15:00:00,4,4,high_value_at_risk
